热度惩罚 bug,候选集 bug,对应版本,Precision@10,Recall@10,F1@10,nDCG@10,HR@10,AUC,Coverage,CoveredItems,Novelty,正例在候选集内比例
关,关,本实现,0.0066556291390728484,0.06655629139072848,0.01210114388922336,0.031167301212488778,0.06655629139072848,0.8257028145695364,0.36930208601596703,1434.0,2.3504022519219556,1.0
开,关,单 bug 对照,1.6556291390728477e-05,0.00016556291390728477,3.0102347983142685e-05,0.00016556291390728477,0.00016556291390728477,0.15433112582781458,0.05768735513778007,224.0,12.560150715007142,1.0
关,开,单 bug 对照,0.0,0.0,0.0,0.0,0.0,0.0,0.36930208601596703,1434.0,2.3526538008424893,0.0
开,开,原实现,0.0,0.0,0.0,0.0,0.0,0.867703642384106,0.05768735513778007,224.0,12.560150715007142,0.0
