热度惩罚 bug,候选集 bug,对应版本,Precision@10,Recall@10,F1@10,nDCG@10,HR@10,AUC,Coverage,CoveredItems,Novelty,正例在候选集内比例
关,关,本实现,0.006920529801324504,0.06920529801324503,0.012582781456953643,0.03147394465200913,0.06920529801324503,0.8277259933774834,0.34792686067473605,1351.0,2.3160761873861224,1.0
开,关,单 bug 对照,1.6556291390728477e-05,0.00016556291390728477,3.0102347983142685e-05,0.00016556291390728477,0.00016556291390728477,0.15432781456953645,0.056657223796033995,220.0,12.560299721629658,1.0
关,开,单 bug 对照,0.0,0.0,0.0,0.0,0.0,0.0,0.34869945918104556,1354.0,2.3186384199962005,0.0
开,开,原实现,0.0,0.0,0.0,0.0,0.0,0.867703642384106,0.05691475663147051,221.0,12.560299721629658,0.0
