seed,mf.best_valid_rmse,neumf.best_epoch,neumf.stopped_epoch,neumf.best_valid_hr
42,0.8866143226623535,14,16,0.7309602649006622
43,0.8858163952827454,18,20,0.7299668874172185
44,0.8874386548995972,10,12,0.7170529801324503
45,0.8832003474235535,13,15,0.7210264900662252
46,0.8849887251853943,12,14,0.7246688741721854
