seed,model,HR@10,nDCG@10,MRR,Coverage,Gini,HR@10(sampled),nDCG@10(sampled),AUC(sampled)
42,itemknn,0.005629139072847682,0.0027303846623417077,0.004552095932842006,0.42338398145763584,0.9238193313356062,0.22483443708609271,0.10091889813752486,0.6292461034182889
42,itemcf,0.076158940397351,0.0378198290823328,0.037240224723736726,0.3234612413082668,0.916411484600048,0.6683774834437086,0.39133948558590415,0.8909057462037594
42,mf,0.02218543046357616,0.010271002277722712,0.01080233999158566,0.2778779294360031,0.9580337794393288,0.27483443708609273,0.14839897829749005,0.6254615693357416
42,neumf,0.07913907284768212,0.039406086263672035,0.03928689984271115,0.4524851918619624,0.8799545139025093,0.6927152317880795,0.41289066897930804,0.9047996521506456
42,content,0.011754966887417218,0.005716469162098168,0.0071012875266004884,0.5737831573525625,0.8716961351314014,0.19718543046357617,0.10208278081506646,0.5279826409793297
42,popularity,0.0369205298013245,0.018032673467874877,0.019903006259859045,0.051249034251867116,0.9932789217049014,0.4730132450331126,0.25995498378295717,0.8221294066492743
42,random,0.002317880794701987,0.0010023436126706602,0.002119629488025032,1.0,0.14679930176196798,0.10132450331125828,0.04380691054569035,0.5060505719446117
42,hybrid,0.08112582781456953,0.03915522785158578,0.03826350901231532,0.439866082925573,0.8788566991794764,0.6874172185430464,0.4149876501579373,0.8689511004080541
43,itemknn,0.005629139072847682,0.0027303846623417077,0.004552095932842006,0.42338398145763584,0.9238193313356062,0.225,0.10242950674432118,0.6285830155863269
43,itemcf,0.076158940397351,0.0378198290823328,0.037240224723736726,0.3234612413082668,0.916411484600048,0.6667218543046357,0.3916460336360017,0.8913631346578366
43,mf,0.02019867549668874,0.00966714806253733,0.010750967763214539,0.318568117434973,0.9473007574194185,0.2706953642384106,0.14511229693486616,0.625167235266573
43,neumf,0.0771523178807947,0.03746269825036629,0.03736242921464089,0.4859644604687098,0.867797719043615,0.6978476821192053,0.41462694910545206,0.9045504716034517
43,content,0.011754966887417218,0.005716469162098168,0.0071012875266004884,0.5737831573525625,0.8716961351314014,0.1990066225165563,0.10413641318645356,0.5287218208575823
43,popularity,0.0369205298013245,0.018032673467874877,0.019903006259859045,0.051249034251867116,0.9932789217049014,0.47052980132450334,0.26006981356164416,0.8223944745467925
43,random,0.003642384105960265,0.0015649728509383334,0.0025253020994910197,1.0,0.14549853922600287,0.09834437086092715,0.04571039291117288,0.5013495886012442
43,hybrid,0.0826158940397351,0.04042449567360517,0.03980852451710645,0.41797579191346895,0.8830886373443076,0.7086092715231788,0.4244890028600665,0.8879389925747543
44,itemknn,0.005629139072847682,0.0027303846623417077,0.004552095932842006,0.42338398145763584,0.9238193313356062,0.22549668874172185,0.10205914022280195,0.6279182554016991
44,itemcf,0.076158940397351,0.0378198290823328,0.037240224723736726,0.3234612413082668,0.916411484600048,0.6700331125827814,0.3928634944422809,0.8913489196601779
44,mf,0.022516556291390728,0.010827196403291137,0.011493172822196659,0.2807107906258048,0.9574127842028335,0.2771523178807947,0.15007313420082535,0.6249916382366713
44,neumf,0.076158940397351,0.03779908110485396,0.03796960448522096,0.40767447849600824,0.8930917925479207,0.6913907284768211,0.41207896584885484,0.9043648404575556
44,content,0.011754966887417218,0.005716469162098168,0.0071012875266004884,0.5737831573525625,0.8716961351314014,0.19817880794701986,0.10211076893986484,0.5279182554016991
44,popularity,0.0369205298013245,0.018032673467874877,0.019903006259859045,0.051249034251867116,0.9932789217049014,0.4731788079470199,0.26325422212824207,0.8222004816375678
44,random,0.0018211920529801326,0.0006931965885436638,0.001956236313444364,1.0,0.14703692270433355,0.10115894039735099,0.045402646463827155,0.5018295538163088
44,hybrid,0.08344370860927153,0.03992529046249334,0.03857523067515153,0.3940252382178728,0.8908879681000386,0.6966887417218544,0.4206171067444299,0.8799785938858786
45,itemknn,0.005629139072847682,0.0027303846623417077,0.004552095932842006,0.42338398145763584,0.9238193313356062,0.222682119205298,0.0993892859899696,0.6290922469730417
45,itemcf,0.076158940397351,0.0378198290823328,0.037240224723736726,0.3234612413082668,0.916411484600048,0.6644039735099337,0.3912081428528041,0.891324670546525
45,mf,0.019370860927152317,0.008862227701477939,0.00985769714503536,0.33505021890291015,0.9433923299558442,0.275,0.14401017838197713,0.6252123887885478
45,neumf,0.07334437086092715,0.038443474310468434,0.04015976005654229,0.4414112799381921,0.8829351750626349,0.6948675496688742,0.41538129427044335,0.9050404709345105
45,content,0.011754966887417218,0.005716469162098168,0.0071012875266004884,0.5737831573525625,0.8716961351314014,0.19768211920529802,0.1034725634716352,0.5286657970432804
45,popularity,0.0369205298013245,0.018032673467874877,0.019903006259859045,0.051249034251867116,0.9932789217049014,0.4728476821192053,0.2618019967878534,0.8213132985483979
45,random,0.0033112582781456954,0.0014380889760552459,0.00256126411945704,1.0,0.14640199340647708,0.09950331125827815,0.046633580616459155,0.500384641113118
45,hybrid,0.0847682119205298,0.041056003080406356,0.03988126202358408,0.40921967550862737,0.8852946277968321,0.702317880794702,0.4203105637569037,0.8810873637032577
46,itemknn,0.005629139072847682,0.0027303846623417077,0.004552095932842006,0.42338398145763584,0.9238193313356062,0.22185430463576158,0.09965982915298052,0.6289960866947621
