设置,Precision@10,Recall@10,F1@10,nDCG@10,HR@10,MRR,MedianRank,Coverage,CoveredItems,Diversity,Novelty,Gini,Top1%ItemShare,EvalUsers
修正公式 alpha=0.0,0.008079470198675498,0.08079470198675497,0.014689945815773629,0.039430805498040275,0.08079470198675497,0.038836436275050006,153.0,0.4066443471542622,1579.0,0.6893800971030399,2.446546106412771,0.8923256835279609,0.26417218543046356,6040.0
修正公式 alpha=0.05,0.008079470198675498,0.08079470198675497,0.014689945815773632,0.03910923342013763,0.08079470198675497,0.03837538987718008,154.0,0.4218387844450167,1638.0,0.6851526217547473,2.4940166633732623,0.8860456344773362,0.2515562913907285,6040.0
修正公式 alpha=0.1,0.008112582781456953,0.08112582781456953,0.014750150511739916,0.03915522785158578,0.08112582781456953,0.03826350901231532,155.0,0.439866082925573,1708.0,0.6803708854001879,2.5468981311913357,0.8788566991794764,0.23826158940397352,6040.0
修正公式 alpha=0.2,0.00804635761589404,0.0804635761589404,0.014629741119807345,0.038394830195249516,0.0804635761589404,0.03733503170438114,154.5,0.47592067988668557,1848.0,0.6718140867668272,2.6556958476182415,0.8636518411892218,0.21375827814569537,6040.0
修正公式 alpha=0.4,0.00759933774834437,0.0759933774834437,0.01381697772426249,0.036205571252713634,0.0759933774834437,0.03540179070638096,171.0,0.5554983260365697,2157.0,0.6524388999240288,2.915937526370586,0.8253597614324966,0.16582781456953644,6040.0
原实现公式 score*(1-0.2*pop),0.0002317880794701987,0.002317880794701987,0.0004214328717639976,0.001085832356116241,0.002317880794701987,0.001423415060692013,3543.0,0.3177955189286634,1234.0,0.6113920000313923,2.964218194649235,0.9097766456945113,0.2632615894039735,6040.0
