seed,model,HR@10,nDCG@10,MRR,Coverage,HR@10(sampled),nDCG@10(sampled),AUC(sampled)
42,itemknn,0.005629139072847682,0.0027303846623417077,0.004552095932842006,0.42338398145763584,0.22483443708609271,0.10091889813752486,0.6292461034182889
42,itemcf,0.076158940397351,0.0378198290823328,0.037240224723736726,0.3234612413082668,0.6683774834437086,0.39133948558590415,0.8909057462037594
42,mf,0.02218543046357616,0.010271002277722712,0.01080233999158566,0.2778779294360031,0.27483443708609273,0.14839897829749005,0.6254615693357416
42,neumf,0.07947019867549669,0.039811462549499514,0.03957898971309695,0.475663147051249,0.6917218543046357,0.41468432847111536,0.9045671951301091
42,content,0.011754966887417218,0.005716469162098168,0.0071012875266004884,0.5737831573525625,0.19718543046357617,0.10208278081506646,0.5279826409793297
42,popularity,0.0369205298013245,0.018032673467874877,0.019903006259859045,0.051249034251867116,0.4730132450331126,0.25995498378295717,0.8221294066492743
42,random,0.002317880794701987,0.0010023436126706602,0.002119629488025032,1.0,0.10132450331125828,0.04380691054569035,0.5060505719446117
42,hybrid,0.07963576158940397,0.0381535618160305,0.037350072919601816,0.4027813546227144,0.687251655629139,0.41355544421668927,0.8608669476219145
43,itemknn,0.005629139072847682,0.0027303846623417077,0.004552095932842006,0.42338398145763584,0.225,0.10242950674432118,0.6285830155863269
43,itemcf,0.076158940397351,0.0378198290823328,0.037240224723736726,0.3234612413082668,0.6667218543046357,0.3916460336360017,0.8913631346578366
43,mf,0.02019867549668874,0.00966714806253733,0.010750967763214539,0.318568117434973,0.2706953642384106,0.14511229693486616,0.625167235266573
43,neumf,0.07764900662251656,0.03919256489393655,0.03953644696230796,0.4571207828998197,0.7021523178807947,0.4177423975703687,0.905967790487658
43,content,0.011754966887417218,0.005716469162098168,0.0071012875266004884,0.5737831573525625,0.1990066225165563,0.10413641318645356,0.5287218208575823
43,popularity,0.0369205298013245,0.018032673467874877,0.019903006259859045,0.051249034251867116,0.47052980132450334,0.26006981356164416,0.8223944745467925
43,random,0.003642384105960265,0.0015649728509383334,0.0025253020994910197,1.0,0.09834437086092715,0.04571039291117288,0.5013495886012442
43,hybrid,0.06788079470198675,0.03155859109821216,0.030286220349323757,0.4056142158125161,0.5384105960264901,0.3266406024214487,0.7719747140276942
44,itemknn,0.005629139072847682,0.0027303846623417077,0.004552095932842006,0.42338398145763584,0.22549668874172185,0.10205914022280195,0.6279182554016991
44,itemcf,0.076158940397351,0.0378198290823328,0.037240224723736726,0.3234612413082668,0.6700331125827814,0.3928634944422809,0.8913489196601779
44,mf,0.022516556291390728,0.010827196403291137,0.011493172822196659,0.2807107906258048,0.2771523178807947,0.15007313420082535,0.6249916382366713
44,neumf,0.0793046357615894,0.039893814651718096,0.03978168131774959,0.4455318053051764,0.694205298013245,0.41592026276012073,0.9052511873703926
44,content,0.011754966887417218,0.005716469162098168,0.0071012875266004884,0.5737831573525625,0.19817880794701986,0.10211076893986484,0.5279182554016991
44,popularity,0.0369205298013245,0.018032673467874877,0.019903006259859045,0.051249034251867116,0.4731788079470199,0.26325422212824207,0.8222004816375678
44,random,0.0018211920529801326,0.0006931965885436638,0.001956236313444364,1.0,0.10115894039735099,0.045402646463827155,0.5018295538163088
44,hybrid,0.0793046357615894,0.03906869336203156,0.03879610215742229,0.3546227143960855,0.687748344370861,0.41562969579189846,0.8649642116529533
45,itemknn,0.005629139072847682,0.0027303846623417077,0.004552095932842006,0.42338398145763584,0.222682119205298,0.0993892859899696,0.6290922469730417
45,itemcf,0.076158940397351,0.0378198290823328,0.037240224723736726,0.3234612413082668,0.6644039735099337,0.3912081428528041,0.891324670546525
45,mf,0.019370860927152317,0.008862227701477939,0.00985769714503536,0.33505021890291015,0.275,0.14401017838197713,0.6252123887885478
45,neumf,0.07897350993377483,0.03954633618160881,0.0394578236833456,0.45583311872263715,0.6985099337748344,0.41527430438873225,0.905639173188842
45,content,0.011754966887417218,0.005716469162098168,0.0071012875266004884,0.5737831573525625,0.19768211920529802,0.1034725634716352,0.5286657970432804
45,popularity,0.0369205298013245,0.018032673467874877,0.019903006259859045,0.051249034251867116,0.4728476821192053,0.2618019967878534,0.8213132985483979
45,random,0.0033112582781456954,0.0014380889760552459,0.00256126411945704,1.0,0.09950331125827815,0.046633580616459155,0.500384641113118
45,hybrid,0.0814569536423841,0.03850538591762773,0.03753830992671139,0.4426989441153747,0.696523178807947,0.4172288088974965,0.8685062545989698
46,itemknn,0.005629139072847682,0.0027303846623417077,0.004552095932842006,0.42338398145763584,0.22185430463576158,0.09965982915298052,0.6289960866947621
46,itemcf,0.076158940397351,0.0378198290823328,0.037240224723736726,0.3234612413082668,0.6658940397350993,0.39232547060696604,0.8910127767743661
46,mf,0.0173841059602649,0.008622809953697729,0.01024600082010147,0.3322173577131084,0.2685430463576159,0.1420623479555686,0.6249740785336813
46,neumf,0.07682119205298013,0.03831453330993261,0.038728164348486124,0.44887973216585114,0.6907284768211921,0.414442944561597,0.9051282694494615
46,content,0.011754966887417218,0.005716469162098168,0.0071012875266004884,0.5737831573525625,0.19850993377483445,0.10352560736191045,0.5287778446718845
46,popularity,0.0369205298013245,0.018032673467874877,0.019903006259859045,0.051249034251867116,0.47119205298013245,0.26017799856316154,0.8222138604588936
46,random,0.001490066225165563,0.0006186609190338508,0.0018111266081815907,1.0,0.0913907284768212,0.03998564833928855,0.49704160813432346
46,hybrid,0.0814569536423841,0.04037667818790984,0.040285984624568914,0.40200875611640485,0.7001655629139073,0.42433779505714264,0.8913489196601779
