,HR@10,HR@10,nDCG@10,nDCG@10,MRR,MRR,Coverage,Coverage,HR@10(sampled),HR@10(sampled),nDCG@10(sampled),nDCG@10(sampled),AUC(sampled),AUC(sampled)
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,,,
content,0.011754966887417218,0.0,0.005716469162098168,0.0,0.0071012875266004884,0.0,0.5737831573525625,0.0,0.19811258278145696,0.0007082532992121585,0.1030656267549861,0.0009221581779490345,0.5284132717907551,0.0004249614796192788
hybrid,0.07794701986754966,0.005715398691476821,0.037532582076362356,0.0034448894006687204,0.03685133799552563,0.0038535808600247898,0.40154519701261915,0.031279586642769426,0.6620198675496689,0.06932427824781834,0.39947846927693514,0.040918940676480886,0.851532209512342,0.04601749590772265
itemcf,0.076158940397351,0.0,0.0378198290823328,0.0,0.037240224723736726,0.0,0.3234612413082668,0.0,0.6670860927152318,0.0021851795962776798,0.3918765254247914,0.0007007019933377424,0.891191049568533,0.0002153891876623492
itemknn,0.005629139072847682,0.0,0.0027303846623417077,0.0,0.004552095932842006,0.0,0.4233839814576358,0.0,0.22397350993377482,0.0016026284821629322,0.10089133204951964,0.0013696038624101095,0.6287671416148237,0.0005343276031499158
mf,0.02033112582781457,0.002111819704823624,0.00965007687974537,0.0009283633196243655,0.010630035708426739,0.0006191342053605258,0.3088848828225599,0.027739884907395325,0.2732450331125828,0.003517189177405996,0.14593138715414547,0.003262456547721907,0.6251613820322429,0.00019789133598468238
neumf,0.07844370860927152,0.0011553871736667504,0.039351742317339115,0.0006411302240446902,0.03941662120499724,0.0004030077908550868,0.4566057172289467,0.01168728158105894,0.6954635761589404,0.004796469342413486,0.4156128475503868,0.0013205036496384546,0.9053107231252927,0.000531339037830093
popularity,0.0369205298013245,0.0,0.018032673467874877,0.0,0.019903006259859045,0.0,0.05124903425186712,0.0,0.47215231788079476,0.0012075882469410925,0.26105180296477165,0.0014443242867804846,0.8220503043681852,0.0004234358476096223
random,0.0025165562913907285,0.0009321647854476324,0.001063452589448351,0.0004273577067790286,0.002194711725719809,0.0003366363244135613,1.0,0.0,0.09834437086092715,0.004077354422524747,0.044307835775287616,0.0026223604036704432,0.5013311927219213,0.0032333318078500953
