设置,Precision@10,Recall@10,F1@10,nDCG@10,HR@10,MRR,MedianRank,Coverage,CoveredItems,Diversity,Novelty,Gini,Top1%ItemShare,EvalUsers
修正公式 alpha=0.0,0.007913907284768212,0.07913907284768212,0.014388922335942203,0.038305246279600545,0.07913907284768212,0.03780895797558015,157.0,0.37239248004120523,1446.0,0.7093592559857085,2.353154377410183,0.9067014392845021,0.30107615894039735,6040.0
修正公式 alpha=0.05,0.007963576158940399,0.07963576158940397,0.014479229379891633,0.03846236818600038,0.07963576158940397,0.037817942043515754,158.0,0.3873293844965233,1504.0,0.7052843556893582,2.3996155626284668,0.9009727492738766,0.28804635761589403,6040.0
修正公式 alpha=0.1,0.007963576158940397,0.07963576158940397,0.014479229379891633,0.0381535618160305,0.07963576158940397,0.037350072919601816,157.0,0.4027813546227144,1564.0,0.7009025670143942,2.4492841229311137,0.8947519157202477,0.27473509933774837,6040.0
修正公式 alpha=0.2,0.007814569536423841,0.0781456953642384,0.014208308248043347,0.03718769953097298,0.0781456953642384,0.03646355534434162,158.0,0.4393510172547,1706.0,0.6922118039715369,2.5537985678143036,0.8813153873310899,0.24943708609271523,6040.0
修正公式 alpha=0.4,0.007317880794701987,0.07317880794701986,0.013305237808549066,0.03437292384664707,0.07317880794701986,0.033937590869800006,182.0,0.5240793201133145,2035.0,0.6729900853523355,2.8214836591576336,0.8445620662660978,0.19711920529801324,6040.0
原实现公式 score*(1-0.2*pop),0.0002152317880794702,0.002152317880794702,0.0003913305237808549,0.001389158205018312,0.002152317880794702,0.0019106162990067401,3534.0,0.3049188771568375,1184.0,0.6652863312241257,3.1349431167203194,0.9245611964532099,0.36402317880794705,6040.0
